                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8224,                 13.399,                 1.9856,                0.15104,                0.08036,                0.05174,                0.01617,                 2.6898,                   4.07,                 1.8469,              0.0033171,              0.0033171,              0.0033171
                      2,                 2.6185,                 3.9021,                 1.7313,                0.00685,                0.26452,                0.01742,                0.00533,                 2.6139,                 3.7956,                 1.7419,              0.0066285,              0.0066285,              0.0066285
                      3,                  3.023,                 4.1807,                 1.9762,                0.00344,                0.18065,                0.00251,                0.00085,                  2.995,                  5.429,                 2.0991,              0.0099178,              0.0099178,              0.0099178
                      4,                 3.1896,                 4.3691,                 2.1847,                0.00051,                0.52258,                0.00428,                0.00102,                 3.0373,                 7.1326,                  2.146,               0.009901,               0.009901,               0.009901
                      5,                 3.1805,                 4.1463,                 2.1997,                0.00067,                0.49032,                0.00681,                0.00124,                 3.0556,                 5.7241,                 2.0901,               0.009901,               0.009901,               0.009901
                      6,                 3.1915,                 4.1197,                 2.1124,                 0.1271,                0.05161,                0.02527,                0.00672,                 2.9539,                 4.7129,                 2.0024,               0.009868,               0.009868,               0.009868
                      7,                 3.0882,                 3.9754,                 2.0041,                 0.2896,                0.06452,                0.03921,                 0.0108,                 2.9193,                 5.3671,                 2.0459,               0.009835,               0.009835,               0.009835
                      8,                 3.1244,                 3.9649,                 2.0448,                0.10237,                 0.0129,                0.02325,                0.00963,                  2.861,                 3.8837,                 1.8742,               0.009802,               0.009802,               0.009802
                      9,                 3.0525,                 3.7108,                 1.9689,                0.15721,                0.05161,                0.01807,                 0.0052,                  2.862,                 3.8732,                 1.8698,               0.009769,               0.009769,               0.009769
                     10,                 2.9513,                 3.6739,                 1.9535,                0.14199,                0.09032,                0.04662,                0.01468,                 2.7468,                 3.4511,                 1.8482,               0.009736,               0.009736,               0.009736
                     11,                 2.9571,                 3.5864,                 1.9727,                0.22052,                0.03226,                0.04131,                0.00999,                 2.7512,                 3.4118,                 1.8345,               0.009703,               0.009703,               0.009703
                     12,                 2.8056,                 3.5149,                 1.8542,                 0.0942,                 0.1617,                0.04262,                0.01327,                 2.5676,                 5.0682,                 1.8948,                0.00967,                0.00967,                0.00967
                     13,                 2.8865,                 3.4813,                  1.929,                0.13865,                0.12258,                0.05756,                0.01722,                  2.617,                 3.8079,                 1.7739,               0.009637,               0.009637,               0.009637
                     14,                 2.8487,                 3.5374,                 1.8155,                0.26074,                0.13548,                0.09198,                0.02882,                 2.5456,                 3.1189,                 1.7334,               0.009604,               0.009604,               0.009604
                     15,                 2.8202,                 3.3668,                 1.9032,                0.01562,                0.43871,                0.08306,                0.02876,                 2.6823,                 3.4374,                 1.7886,               0.009571,               0.009571,               0.009571
                     16,                 2.7645,                  3.404,                 1.8613,                0.00786,                0.50323,                0.02457,                0.00811,                 2.5774,                 3.4285,                 1.7394,               0.009538,               0.009538,               0.009538
                     17,                 2.7271,                 3.2218,                  1.848,                0.16386,                0.03871,                0.04302,                0.01433,                 2.5798,                 3.6332,                 1.7008,               0.009505,               0.009505,               0.009505
                     18,                 2.7615,                 3.1452,                  1.844,                0.28443,                0.06452,                0.07968,                0.02535,                 2.7607,                 3.5541,                 1.8437,               0.009472,               0.009472,               0.009472
                     19,                 2.6957,                 3.0808,                 1.8373,                0.33613,                0.14194,                0.12505,                0.03996,                 2.4409,                 3.1127,                 1.6983,               0.009439,               0.009439,               0.009439
                     20,                 2.6257,                 3.1096,                 1.7944,                0.29072,                0.14194,                0.12391,                0.03535,                 2.6672,                 3.7751,                  1.771,               0.009406,               0.009406,               0.009406
                     21,                 2.7122,                 3.0727,                 1.8281,                0.20766,                0.18092,                0.11476,                 0.0328,                 2.5767,                 2.9746,                 1.7687,               0.009373,               0.009373,               0.009373
                     22,                 2.7343,                  3.158,                  1.864,                0.36332,                 0.1871,                0.15902,                0.04673,                   2.61,                  2.954,                 1.8101,                0.00934,                0.00934,                0.00934
                     23,                 2.7062,                 3.2782,                 1.8325,                0.22482,                 0.1871,                0.11894,                0.03331,                 2.6038,                 3.3434,                 1.8071,               0.009307,               0.009307,               0.009307
                     24,                  2.614,                 2.9674,                 1.7691,                 0.2625,                0.17419,                0.16174,                0.04941,                 2.4728,                 3.0275,                 1.6875,               0.009274,               0.009274,               0.009274
                     25,                 2.6478,                 3.0352,                 1.7968,                0.17178,                0.15484,                0.09328,                0.03015,                 2.4892,                 3.1057,                  1.682,               0.009241,               0.009241,               0.009241
                     26,                  2.631,                   2.86,                 1.7869,                0.33792,                0.23226,                0.17858,                0.05843,                 2.5059,                 3.1637,                 1.7024,               0.009208,               0.009208,               0.009208
                     27,                 2.6237,                 2.8211,                 1.7692,                0.29078,                0.14839,                0.09297,                0.02752,                 2.5004,                 2.9833,                 1.6614,               0.009175,               0.009175,               0.009175
                     28,                 2.5751,                 2.7946,                 1.7748,                0.36906,                 0.1871,                0.15317,                 0.0462,                 2.4221,                 3.1081,                 1.6811,               0.009142,               0.009142,               0.009142
                     29,                 2.4973,                 2.8239,                 1.7649,                0.27961,                0.21935,                 0.1828,                0.07089,                 2.4935,                 3.2547,                 1.7151,               0.009109,               0.009109,               0.009109
                     30,                 2.5294,                   2.89,                 1.7247,                0.33003,                0.24516,                0.19185,                0.06373,                  2.492,                 2.9403,                  1.713,               0.009076,               0.009076,               0.009076
                     31,                 2.5042,                 2.8021,                 1.7272,                0.22789,                0.15484,                 0.1154,                0.04155,                 2.5944,                 3.0045,                 1.7879,               0.009043,               0.009043,               0.009043
                     32,                 2.4993,                  2.681,                 1.7315,                0.42698,                 0.1871,                 0.1877,                0.05849,                 2.5772,                 3.0928,                 1.7569,                0.00901,                0.00901,                0.00901
                     33,                 2.5211,                 2.7279,                  1.711,                0.34161,                0.27097,                0.22934,                0.08044,                 2.4271,                 2.7831,                 1.6711,               0.008977,               0.008977,               0.008977
                     34,                 2.4436,                  2.706,                 1.6834,                0.42101,                0.22989,                0.22442,                0.07738,                 2.5398,                 2.6707,                 1.7232,               0.008944,               0.008944,               0.008944
                     35,                 2.4652,                 2.6384,                 1.6912,                 0.2969,                 0.2129,                0.19405,                0.06603,                 2.4164,                 3.3097,                 1.6753,               0.008911,               0.008911,               0.008911
                     36,                 2.4104,                 2.7036,                 1.6587,                0.42921,                0.22581,                 0.2206,                0.08131,                 2.3556,                 2.6659,                 1.6125,               0.008878,               0.008878,               0.008878
                     37,                  2.306,                 2.5968,                 1.6108,                0.36001,                0.27742,                0.25418,                0.08659,                 2.3261,                 2.8291,                 1.6565,               0.008845,               0.008845,               0.008845
                     38,                 2.2774,                 2.5211,                 1.5839,                0.44314,                0.30323,                0.25781,                0.08155,                 2.4064,                 2.9377,                 1.6412,               0.008812,               0.008812,               0.008812
                     39,                 2.3665,                  2.529,                 1.6381,                0.32305,                0.25161,                0.22144,                0.07146,                  2.371,                 2.7894,                 1.6292,               0.008779,               0.008779,               0.008779
                     40,                 2.4392,                 2.5751,                 1.6595,                0.55718,                0.26452,                0.28523,                0.09131,                 2.3974,                 2.9638,                 1.6447,               0.008746,               0.008746,               0.008746
                     41,                 2.3747,                 2.4099,                 1.6647,                0.47317,                0.32258,                0.28065,                0.08988,                 2.4177,                 2.9399,                 1.6342,               0.008713,               0.008713,               0.008713
                     42,                 2.3855,                 2.5178,                 1.6574,                0.43161,                0.25161,                 0.2583,                0.08419,                 2.3081,                 2.9151,                 1.6648,                0.00868,                0.00868,                0.00868
                     43,                 2.3708,                  2.524,                 1.6409,                0.48695,                0.26452,                0.26898,                0.09325,                 2.3235,                 2.5985,                 1.6348,               0.008647,               0.008647,               0.008647
                     44,                 2.3145,                 2.3822,                 1.5921,                0.38197,                0.25919,                0.23901,                 0.0742,                 2.3994,                 2.6316,                 1.6493,               0.008614,               0.008614,               0.008614
                     45,                 2.3586,                 2.5281,                 1.6361,                 0.3861,                0.27742,                0.25708,                0.08277,                 2.3164,                 2.7685,                 1.6623,               0.008581,               0.008581,               0.008581
                     46,                 2.2772,                  2.361,                 1.6228,                0.43654,                0.26452,                0.26763,                0.09562,                 2.3684,                 2.7605,                  1.635,               0.008548,               0.008548,               0.008548
                     47,                 2.3385,                 2.4912,                 1.6228,                0.49299,                0.27097,                0.28582,                0.09972,                 2.4185,                 2.5292,                 1.6876,               0.008515,               0.008515,               0.008515
                     48,                 2.2997,                 2.3172,                  1.633,                0.39897,                0.27097,                0.27569,                0.09399,                 2.3489,                 2.6043,                 1.6604,               0.008482,               0.008482,               0.008482
                     49,                 2.3136,                 2.3577,                 1.6381,                0.32362,                0.28387,                0.25193,                0.08647,                 2.3836,                 2.7127,                 1.7049,               0.008449,               0.008449,               0.008449
                     50,                 2.2669,                 2.2742,                 1.6092,                0.35104,                0.29316,                0.25224,                0.07963,                 2.4613,                 2.8354,                 1.7455,               0.008416,               0.008416,               0.008416
                     51,                 2.2976,                 2.3665,                 1.6135,                0.37272,                0.29677,                0.22691,                0.07472,                 2.3161,                 2.6293,                  1.607,               0.008383,               0.008383,               0.008383
                     52,                 2.2584,                 2.3946,                 1.5755,                0.40337,                0.24516,                0.22676,                0.08295,                 2.2791,                 2.6849,                 1.6209,                0.00835,                0.00835,                0.00835
